years,month,sinkholes,level,algas,Cirsium,Dasylirion,Distichlis,Erigeron,Eustoma,Flaveria,Haploestes,nada,Nerysirenia,Polygala,Prosopis,Sabatia,Samolus,Schoenus,Sesuvium,Sporobolus,Total general
2009,ene,1.49,2,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.49,(en blanco),,,,,,,,,,,,,,7.85E-07,7.85E-07,,,1.57E-06
2009,ene,1.5,1,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.5,(en blanco),,,,0.03911292,,,,,,,,,,,,,,0.03911292
2009,ene,1.51,58,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.51,(en blanco),,,,,,,,,,,,,,3.14E-06,7.85E-07,,,0.000003927
2009,ene,1.52,0,,,,,,,,,,,,,,,4.4917026,,,4.4917026
2009,ene,1.53,0,,,,,,,,,,,,,,3.14E-06,,,,3.14E-06
2009,ene,1.53,(en blanco),,,,7.85E-07,,,3.14E-06,,,,,,,1.57E-06,5.50E-06,,,1.10E-05
2009,ene,1.54,0,,,,,,,0.164934,,,,,,,,,,,0.164934
2009,ene,1.55,20,,,,,,,,,,,,,,7.85E-07,,,,7.85E-07
2009,ene,1.55,(en blanco),,,,7.85E-07,,,,,,,,,,,4.71E-06,,,5.50E-06
2009,ene,1.56,0,,,,,,,,,,,,,,,0.0298452,,,0.0298452
2009,ene,1.56,(en blanco),,,,,,,1.57E-06,,,,,,,,,,,1.57E-06
2009,ene,1.57,17,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.57,(en blanco),,,,7.85E-07,,,3.14E-06,,,,,,,1.26E-05,7.85E-07,,,1.73E-05
2009,ene,1.58,10,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.58,(en blanco),,,,7.85E-07,,,1.02E-05,,,,,,,0.014459999,0.000019635,,,0.01449063
2009,ene,1.59,13,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.59,(en blanco),,,,0.011781,,,7.85E-07,,,,,,,,0.00612612,,,0.017907905
2009,ene,1.6,26,,,,,,,,,,,,,,0.00070686,,,,0.00070686
2009,ene,1.6,(en blanco),,,,0.047124,,,0,,,,,,,0.01437282,,,,0.06149682
