"date" "supCil.avg" "supCil.SE"
"1" "Jan2009" 0.522927007028347 0.0568028818371286
"2" "Mar2009" 0.51926042378244 0.0546115300158977
"3" "May2009" 0.532169056319816 0.0558976727210576
"4" "Aug2009" 0.551914739353889 0.0593065494784906
"5" "Oct2009" 0.560590579512007 0.0645709584140576
"6" "Nov2009" 0.484391122922312 0.0602019011274635
"7" "Jan2010" 0.518654093514974 0.0632088650319876
"8" "Apr2010" 0.545827158799232 0.0617449027274412
"9" "Jun2010" 0.522703961186905 0.0606316681783561
"10" "Aug2010" 0.475567098021352 0.0636845818636386
"11" "Oct2010" 0.465341386034598 0.0672525924221253
"12" "Jan2011" 0.519578899402168 0.0723860102857561
"13" "Mar2011" 0.47598287082821 0.068247137565565
"14" "Jul2011" 0.400605690585201 0.0602243317527703
"15" "Sep2011" 0.495997033705162 0.0744459953578549
"16" "Jan2012" 0.378044642381286 0.0756747600597736
"17" "Apr2012" 0.270574259282846 0.0632999285505534
"18" "May2012" 0.26262148072878 0.0635140304991299
"19" "Jul2012" 0.273906486159279 0.0668008074150975
"20" "Sep2012" 0.282665277783382 0.0672413503421358
"21" "Dec2012" 0.237051758404827 0.0614940628274318
"22" "Jan2013" 0.256810543407117 0.0588845713672815
"23" "Apr2013" 0.231111213918414 0.0589595492609296
"24" "Jun2013" 0.254731158893715 0.0653215462640283
"25" "Jul2013" 0.228234206871233 0.0600269621178296
"26" "Oct2013" 0.247239922358974 0.0644413587747338
"27" "Dec2013" 0.24389974496783 0.0644524508211904
"28" "Feb2014" 0.218261401536713 0.0601809766582701
"29" "Jun2014" 0.232503055183022 0.0641792951872042
"30" "Sep2014" 0.227245008718651 0.0632311158168088
"31" "Feb2015" 0.192383229693645 0.0570361993079802
"32" "Apr2015" 0.188285621349734 0.057539947617651
"33" "Aug2015" 0.157039318279121 0.0528847835042024
"34" "Nov2015" 0.174229042548513 0.0548587374066814
"35" "Jan2016" 0.173195747560562 0.0546924388814771
"36" "Mar2016" 0.172965163778266 0.0540584392742466
"37" "May2016" 0.17783146484126 0.0553072477971949
"38" "Oct2016" 0.179998196853859 0.0620864561344719
"39" "Nov2016" 0.168227516115592 0.0621901551939062
"40" "Jan2017" 0.120392296988333 0.0458475345852018
"41" "Apr2017" 0.139171062831339 0.0541028906720628
"42" "Jun2017" 0.128066847541918 0.0533070577451062
"43" "Aug2017" 0.125379935256224 0.0538453958684746
"44" "Sep2017" 0.12213945335786 0.0499543832473047
