"date" "depth.avg" "depth.SE"
"1" "jan2009" 0.164793457970147 0.0622735181663565
"2" "mar2009" 0.159172774696221 0.0527572245069011
"3" "may2009" 0.138123215698911 0.0506213508093056
"4" "aug2009" 0.199168502483462 0.0580063357682878
"5" "oct2009" 0.246873084339434 0.067745249485103
"6" "nov2009" 0.251796048209724 0.0612891194281734
"7" "jan2010" 0.109410793361918 0.0400417329915058
"8" "apr2010" 0.170569684272907 0.0520643838583861
"9" "jun2010" 0.128605072576161 0.0402120044962736
"10" "aug2010" 0.0922928948838734 0.0466348990393916
"11" "oct2010" 0.0995976113925004 0.043630915035974
"12" "jan2011" 0.0783066517329358 0.0335350512231183
"13" "mar2011" 0.0570277203644784 0.026731341447981
"14" "jul2011" 0.238525983797268 0.0689009144519115
"15" "sep2011" 0.226354873716987 0.0611309153041409
"16" "jan2012" 0.0773766181905704 0.0323940061404919
"17" "apr2012" 0.101365712783549 0.0399433713264134
"18" "may2012" 0.109264643652802 0.0385407332211295
"19" "jul2012" 0.124324849353594 0.0457237118356109
"20" "sep2012" 0.170384309977006 0.0604747875577109
"21" "dec2012" 0.14224165075973 0.0555730592198368
"22" "jan2013" 0.103010344181045 0.043101599376086
"23" "apr2013" 0.0888867412001294 0.0397758203318571
"24" "jun2013" 0.0769834985374736 0.0354795644315545
"25" "jul2013" 0.14616140096136 0.0567790864144188
"26" "oct2013" 0.19390814370734 0.0728996775456141
"27" "dec2013" 0.110166941615351 0.0526099938596492
"28" "feb2014" 0.0703829099094375 0.041535635431001
"29" "jun2014" 0.125497952143485 0.054022742314868
"30" "sep2014" 0.155901688487643 0.0623007857754235
"31" "feb2015" 0.0409572405497867 0.0253311610474657
"32" "apr2015" 0.0713166479315737 0.033314579548294
"33" "aug2015" 0.0993336804223805 0.0496873989857698
"34" "nov2015" 0.0750592639787413 0.0391058620170209
"35" "jan2016" 0.015842700373088 0.0109691535481148
"36" "mar2016" 0.059695110131826 0.0364630217423419
"37" "may2016" 0.0745118302430258 0.0391036654504058
"38" "oct2016" 0.116826143078651 0.0580402402330737
"39" "nov2016" 0.0397952189189109 0.0265167723445101
"40" "jan2017" 0.0111558660827554 0.0104986493799013
"41" "apr2017" 0.0343121167948728 0.0291255728022719
"42" "jun2017" 0.0353883199141073 0.0224434618641783
"43" "aug2017" 0.0620744638409013 0.0430305040763791
"44" "sep2017" 0.0721453067461643 0.045789328999661
